ENODEB_ID,CELL_ID,INDOOR,ENODEB_TYPE,PU_ID,NBR_DISTANCE_VORONOI,SITE_DENSITY_TYPE,SERVING_TYPE,ANTENNA_ID,LONGITUDE,LATITUDE,AZIMUTH,BEAMWIDTH_H,PATHLOSS_DISTANCE,FINAL_DISTANCE
123049,41,0,1,9106,4964.99,5,0,1,7.060027000000001,47.061378999999995,90,81,1137,15742.18
123049,3,0,1,9106,2559.54,4,0,1,7.060027000000001,47.061378999999995,240,76,1268,12160.060000000001
123049,23,0,1,9106,2559.54,4,0,1,7.060027000000001,47.061378999999995,240,72,2541,12160.060000000001
123049,22,0,1,9106,3312.12,4,0,1,7.060027000000001,47.061378999999995,160,72,2541,11629.27
123049,21,0,1,9106,4964.99,5,0,1,7.060027000000001,47.061378999999995,90,72,2624,15742.18
123049,2,0,1,9106,3312.12,4,0,1,7.060027000000001,47.061378999999995,160,76,1268,11629.27
123049,1,0,1,9106,4964.99,5,0,1,7.060027000000001,47.061378999999995,90,76,1310,15742.18
123039,43,0,1,9106,2087.57,3,0,1,6.835094000000001,46.971038,180,81,1436,5184.24
123039,42,0,1,9106,1160.28,2,0,1,6.835094000000001,46.971038,100,81,1317,5122.030000000001
123039,41,0,1,9106,1637.36,3,0,1,6.835094000000001,46.971038,280,81,1440,6175.68
123054,3,0,1,9106,4073.31,5,0,1,7.0342910000000005,47.047583,290,61,1227,13880.16
123054,41,0,1,9106,3925.4,5,0,1,7.0342910000000005,47.047583,30,63,1136,17170.6
123054,42,0,1,9106,2411.18,4,0,1,7.0342910000000005,47.047583,190,60,1117,10478.66
10501,1,0,1,9109,2506.48,4,0,1,9.451971,47.413553,60,61,1181,8091.69
10487,21,0,1,9105,3858.08,5,0,1,8.350878,47.394867,310,60,2642,9723.46
10487,22,0,1,9105,3137.19,4,0,1,8.350878,47.394867,170,62,2332,6815.52
10487,23,0,1,9105,3941.79,5,0,1,8.350878,47.394867,240,60,2672,10505.68
10487,3,0,1,9105,3941.79,5,0,1,8.350878,47.394867,240,65,1214,10505.68
10487,41,0,1,9105,3858.08,5,0,1,8.350878,47.394867,310,65,1172,9723.46
10487,42,0,1,9105,3137.19,4,0,1,8.350878,47.394867,170,65,1131,6815.52
10487,43,0,1,9105,3941.79,5,0,1,8.350878,47.394867,240,60,1153,10505.68
10501,2,0,1,9109,2906.33,4,0,1,9.451971,47.413553,170,61,1151,9515.23
123054,43,0,1,9106,4073.31,5,0,1,7.0342910000000005,47.047583,290,59,1090,13880.16
10501,21,0,1,9109,2506.48,4,0,1,9.451971,47.413553,60,60,2482,8091.69
10501,22,0,1,9109,2906.33,4,0,1,9.451971,47.413553,170,62,2480,9515.23
10501,23,0,1,9109,3054.36,4,0,1,9.451971,47.413553,270,60,2479,8194.61
10501,3,0,1,9109,3054.36,4,0,1,9.451971,47.413553,270,62,1151,8194.61
